
T: SNK Crushers		
Nick Hundley	 "(Col - C)"		
Joey Votto	 "(Cin - 1B)"	2	2
Joe Panik	 "(SF - 2B)"	23	18
Anthony Rendón	 "(Was - 2B	3B)"	14	10
Ian Desmond	 "(Tex - SS	CF)"	4	3
Justin Upton	 "(Det - CF)"	1	1
Grégory Polanco	 "(Pit - OF)"	19	15
Yasmany Tomás	 "(Ari - 3B	OF)"		
Brandon Belt	 "(SF - 1B	OF)"	7	5
Corey Kluber	 "(Cle - SP)"	16	12
Marcus Stroman	 "(Tor - SP)"	20	16
Carlos Rodon	 "(CWS - SP)"	25	20
David Price	 "(Bos - SP)"	3	2
Jameson Taillon	 "(Pit - SP)"	0	25
Brandon Finnegan	 "(Cin - SP	RP)"	16	12
Dellin Betances	 "(NYY - RP)"	18	14
Kevin Gausman	 "(Bal - SP	RP)"	16	12
Danny Duffy	 "(KC - SP	RP)"	14	10
Marcell Ozuna	 "(Mia - CF)"	9	6
Max Kepler	 "(Min - OF)"	24	19
Aaron Judge	 "(NYY - OF)"	0	25
Asdrubal Cabrera	 "(NYM - SS)"		
Colby Lewis	 "(Tex - SP)"		
Sonny Gray	 "(Oak - SP)"	15	11
David Paulino	 "(Hou - RP)"		
Brett Anderson	 "(LAD - SP)"		
Alex Wood	 "(LAD - SP)"	12	8
Lance Lynn	 "(StL - SP)"	11	7
T: Zach Miner Threat		
Mike Zunino	 "(Sea - C)"		
Anthony Rizzo	 "(ChC - 1B)"	5	3
Jean Segura	 "(Ari - 2B	SS)"	13	9
Miguel Sano	 "(Min - 3B	OF)"	25	20
Addison Russell	 "(ChC - 2B	SS)"	24	19
Bryce Harper	 "(Was - CF)"	12	8
Nomar Mazara	 "(Tex - OF)"	17	13
J.D. Martínez	 "(Det - OF)"	19	15
José Abreu	 "(CWS - 1B)"	2	2
Jon Lester	 "(ChC - SP)"		
Justin Verlander	 "(Det - SP)"	1	1
Eduardo Rodríguez	 "(Bos - SP)"	18	14
Matt Boyd	 "(Det - SP)"		
Daniel Norris	 "(Det - SP)"	22	17
Mychal Givens	 "(Bal - RP)"		
Tyler Thornburg	 "(Mil - RP)"		
Bruce Rondon	 "(Det - RP)"		
Luke Gregerson	 "(Hou - RP)"		
Sandy León	 "(Bos - C)"		
Rougned Odor	 "(Tex - 2B)"	14	10
Travis Jankowski	 "(SD - CF)"		
Teoscar Hernández	 "(Hou - CF)"		
Matt Duffy	 "(TB - 2B	3B	SS)"	22	17
Nick Castellanos	 "(Det - 3B)"	20	16
Yordano Ventura	 "(KC - SP)"	8	5
Frankie Montás	 "(Oak - RP)"	20	16
Joe Ross	 "(Was - SP)"	23	18
Chad Green	 "(NYY - SP	RP)"		
T: Big Inning CornKings		
Jonathan Lucroy	 "(Tex - C	1B)"	3	2
Freddie Freeman	 "(Atl - 1B)"	7	5
Logan Forsythe	 "(TB - 1B	2B)"	22	17
Evan Longoria	 "(TB - 3B)"	1	1
Manny Machado	 "(Bal - 3B	SS)"	12	8
Wil Myers	 "(SD - 1B	CF)"	11	7
Stephen Piscotty	 "(StL - 1B	CF)"	24	19
Giancarlo Stanton	 "(Mia - OF)"	5	3
Byron Buxton	 "(Min - CF)"	25	20
Anthony DeSclafani	 "(Cin - SP)"	16	12
Collin McHugh	 "(Hou - SP)"	15	11
José Berrios	 "(Min - SP)"	0	25
Luis Perdomo	 "(SD - SP	RP)"		
Daniel Mengden	 "(Oak - SP)"		
Edubray Ramos	 "(Phi - RP)"		
Grant Dayton	 "(LAD - RP)"		
Matt Strahm	 "(KC - RP)"		
Wade Davis	 "(KC - RP)"	17	13
Brad Miller	 "(TB - 1B	2B	SS	CF)"	10	7
Tyler Naquin	 "(Cle - CF)"	23	18
Cheslor Cuthbert	 "(KC - 3B)"		
J.T. Realmuto	 "(Mia - C)"	19	15
Andrew Toles	 "(LAD - CF)"		
Tom Murphy	 "(Col - C)"		
Danny Salazar	 "(Cle - SP)"	15	11
Zach Eflin	 "(Phi - SP)"		
T: Dostoevskian Idiots		
Andrew Triggs	 "(Oak - SP)"		
Stephen Vogt	 "(Oak - C	1B)"	15	11
Miguel Cabrera	 "(Det - 1B)"	2	2
Jason Kipnis	 "(Cle - 2B)"	8	5
Ryon Healy	 "(Oak - 3B)"		
Jung Ho Kang	 "(Pit - 3B	SS)"		
Mike Trout	 "(LAA - CF)"	12	8
Dexter Fowler	 "(ChC - CF)"	7	5
José Bautista	 "(Tor - OF)"	5	3
Maikel Franco	 "(Phi - 3B)"	25	20
Max Scherzer	 "(Was - SP)"	1	1
Bartolo Colón	 "(NYM - SP)"	11	7
Sean Manaea	 "(Oak - SP)"	0	25
Mike Clevinger	 "(Cle - SP	RP)"		
Johnny Cueto	 "(SF - SP)"	2	2
Kelvin Herrera	 "(KC - RP)"	17	13
Zach Britton	 "(Bal - RP)"	23	18
Craig Kimbrel	 "(Bos - RP)"	9	6
Clayton Richard	 "(SD - SP	RP)"		
Javier Báez	 "(ChC - 2B	3B	SS)"	20	16
Yasiel Puig	 "(LAD - OF)"	4	3
Marcus Semien	 "(Oak - SS)"	18	14
Yoan Moncada	 "(Bos - 2B)"	10	7
Andrew Benintendi	 "(Bos - CF)"	16	12
Greg Bird	 "(NYY - 1B)"	24	19
Masahiro Tanaka	 "(NYY - SP)"	19	15
Carlos Carrasco	 "(Cle - SP)"	7	5
Dylan Bundy	 "(Bal - SP	RP)"	14	10
Hyun-Jin Ryu	 "(LAD - SP)"	3	2
T: The Bail Outs		
Tucker Barnhart	 "(Cin - C)"		
Edwin Encarnación	 "(Tor - 1B)"	1	1
Ryan Schimpf	 "(SD - 2B	3B)"		
Josh Donaldson	 "(Tor - 3B)"	4	3
Francisco Lindor	 "(Cle - SS)"	25	20
Jackie Bradley Jr.	 "(Bos - CF)"		
Scott Schebler	 "(Cin - CF)"		
Brandon Drury	 "(Ari - 2B	3B	OF)"	18	14
Tommy Joseph	 "(Phi - 1B)"		
Tyler Anderson	 "(Col - SP)"		
James Paxton	 "(Sea - SP)"	15	11
Clayton Kershaw	 "(LAD - SP)"	2	2
Alex Cobb	 "(TB - SP)"	9	6
Jerad Eickhoff	 "(Phi - SP)"	22	17
Carl Edwards Jr.	 "(ChC - RP)"		
Kyle Barraclough	 "(Mia - RP)"		
Seth Lugo	 "(NYM - SP	RP)"		
Ryan Buchter	 "(SD - RP)"		
George Springer	 "(Hou - CF)"	18	14
Jake Lamb	 "(Ari - 3B)"	24	19
Mitch Haniger	 "(Ari - CF)"		
Wilmer Flores	 "(NYM - 1B	2B	3B	SS)"	12	8
Billy Hamilton	 "(Cin - CF)"		
David Peralta	 "(Ari - OF)"	17	13
Mike Foltynewicz	 "(Atl - SP)"	23	18
Jaime García	 "(StL - SP)"	14	10
Adam Conley	 "(Mia - SP)"	21	16
Steven Matz	 "(NYM - SP)"	0	25
T: Hoopleheads		
Welington Castillo	 "(Ari - C)"		
Kendrys Morales	 "(KC - 1B	OF)"	8	5
Dustin Pedroia	 "(Bos - 2B)"	3	2
Lonnie Chisenhall	 "(Cle - 3B	OF)"		
Brandon Crawford	 "(SF - SS)"	23	18
Mookie Betts	 "(Bos - CF)"	20	16
Yoenis Céspedes	 "(NYM - CF)"	2	2
Kole Calhoun	 "(LAA - OF)"	14	10
Albert Pujols	 "(LAA - 1B)"	1	1
Dan Straily	 "(Cin - SP)"		
Iván Nova	 "(Pit - SP	RP)"	0	25
Raisel Iglesias	 "(Cin - SP	RP)"	10	7
Luis Severino	 "(NYY - SP	RP)"	24	19
Wei-Yin Chen	 "(Mia - SP)"	6	4
Héctor Neris	 "(Phi - RP)"		
Addison Reed	 "(NYM - RP)"		
Shawn Kelley	 "(Was - RP)"		
Mauricio Cabrera	 "(Atl - RP)"		
Lorenzo Cain	 "(KC - CF)"	16	12
Chris Owings	 "(Ari - 2B	SS	CF)"	12	8
Joey Gallo	 "(Tex - 3B	OF)"	25	20
Jacob deGrom	 "(NYM - SP)"	19	15
Jeanmar Gómez	 "(Phi - RP)"		
Michael Wacha	 "(StL - SP)"	5	3
Matt Shoemaker	 "(LAA - SP)"	10	7
Carter Capps	 "(SD - RP)"	21	16
Zack Wheeler	 "(NYM - SP)"	15	11
T: Bullfrongs		
Cameron Rupp	 "(Phi - C)"		
Lucas Duda	 "(NYM - 1B)"	20	16
DJ LeMahieu	 "(Col - 2B)"	23	18
Kyle Seager	 "(Sea - 3B)"	9	6
Didi Gregorius	 "(NYY - SS)"	17	13
Ángel Pagán	 "(SF - CF)"		
Mark Trumbo	 "(Bal - 1B	OF)"	6	4
Nick Markakis	 "(Atl - OF)"	13	9
Troy Tulowitzki	 "(Tor - SS)"	1	1
Tanner Roark	 "(Was - SP	RP)"	11	7
CC Sabathia	 "(NYY - SP)"		
Kenta Maeda	 "(LAD - SP)"	4	3
Brad Hand	 "(SD - SP	RP)"		
Trevor Cahill	 "(ChC - SP	RP)"		
Joe Blanton	 "(LAD - SP	RP)"		
Kenley Jansen	 "(LAD - RP)"		
