Mendoza Line ,Chibe's ,Ukrainian ,SNK ,Quantum ,NecPoss ,BICK ,Kingery ,Outliers ,Bullfrogs ,ZMT ,Hoopleheads ,Peaches ,Clement ,KPAS ,Idiots ,Maya's ,Bail Outs 
Jon Lester,B.J. Upton,Miguel Montero,Joe Mauer,Jose Reyes,Chase Utley,Tim Lincecum,C.C. Sabathia,Mike Napoli,Brian Roberts,Matt Holliday,Albert Pujols,Cole Hamels,Adrian Beltre,Josh Hamilton,Roy Halladay,Jimmy Rollins,Cliff Lee
Torii Hunter,Asdrubal Cabrera,Dan Uggla,David Wright,Anibal Sanchez,Nick Markakis,Dan Haren,Dustin Pedroia,Aramis Ramirez,Edwin Encarnacion,Robinson Cano,Curtis Granderson,Jered Weaver,Kurt Suzuki,Brandon Phillips,Miguel Cabrera,Adrian Gonzalez,Troy Tulowitzki
Josh Beckett,Paul Konerko,Kendrys Morales,Hanley Ramirez,Max Scherzer,Ryan Zimmerman,James Shields,Nelson Cruz,Ian Kinsler,Kevin Youkilis,Justin Verlander,Ian Kennedy,Zack Greinke,Matt Cain,Adam Wainwright,Matt Kemp,Felix Hernandez,Prince Fielder
Carlos Beltran,Gavin Floyd,Mark Reynolds,Brandon McCarthy,Yoenis Cespedes,Yunel Escobar,Andre Ethier,Josh Willingham,Jake Peavy,Derek Jeter,Lance Berkman,J.J. Hardy,Adam Dunn,Shin-Soo Choo,David Ortiz,Yovani Gallardo,Adam Jones,Jacoby Ellsbury
Mark Buehrle,Sergio Romo,Ian Desmond,Matt Garza,Carlos Santana,Jarrod Saltalamacchia,Shane Victorino,Chad Billingsley,Nick Swisher,Jon Papelbon,Jason Kubel,Vinnie Pestano,Hunter Pence,Ryan Braun,Billy Butler,Alex Gordon,Justin Upton,Gio Gonzalez
Rafael Betancourt,Rickie Weeks,Bud Norris,Jordan Zimmermann,Edinson Volquez,J.J. Putz,Carlos Quentin,Ryan Howard,Justin Morneau,Mike Minor,Shaun Marcum,Brandon Morrow,Howie Kendrick,Erick Aybar,Wandy Rodriguez,Hisashi Iwakuma,Chris Capuano,Jeff Samardzija
Ryan Dempster,Michael Bourn,Justin Masterson,Johan Santana,Homer Bailey,Chris Parmelee,Pablo Sandoval,Carlos Gonzalez,Alejandro De Aza,Ricky Nolasco,Alexi Ogando,Chase Headley,Ichiro Suzuki,Jayson Werth,Alexei Ramirez,Josh Johnson,Clay Buchholz,Clayton Kershaw
Alexis Rios,Ricky Romero,Brett Gardner,Joey Votto,Melky Cabrera,Johnny Cueto,Francisco Liriano,Tim Hudson,David Robertson,James McDonald,Cody Ross,Jay Bruce,Wei-Yin Chen,Scott Sizemore,Hiroki Kuroda,Martin Prado,Evan Longoria,Jordan Pacheco
Phil Hughes,Corey Hart,Derek Holland,Carl Crawford,Colby Rasmus,Julio Teheran,Jaime Garcia,Ubaldo Jimenez,Edwin Jackson,Wade LeBlanc,Sean Doolittle,Drew Storen,Brian McCann,R.A. Dickey,Lance Lynn,Rick Porcello,Aaron Hill,Craig Kimbrel
Garrett Jones,Matt Carpenter,Juan Francisco,Denard Span,Daniel Bard,Jon Niese,Jonathan Lucroy,Rafael Soriano,Hiroyuki Nakajima,Dexter Fowler,Trevor Cahill,Marco Scutaro,Adam Lind,Doug Fister,Paul Maholm,Scott Kazmir,Colby Lewis,Ryan Vogelsong
