,SNK Crushers,Quantum Fastball,The Amazin Ukrainian,Bullfrogs,Hoopleheads,Clement St. Massive,Mike Kingery,The Outliers,Chibe's Crushers '13,Necessarily Possible,Ken Phelps All Stars,Maya's Mysteries,Big Inning CornKings,Peaches,Zach Miner Threat,The Bail Outs,Dostoevskian Idiots
The Bail Outs: Cliff Lee,,,Albert Pujols,Brian Roberts,Zach Miner Threat: Max Scherzer,Adrian Beltre,C.C. Sabathia,,,Chase Utley,,,,Cole Hamels,JUSTIN VERLANDER,Troy Tulowitzki,Jon Lester
SNK Crushers:,Hanley Ramírez,,Nelson Cruz,Edwin Encarnación,Curtis Granderson,Matt Cain,Dustin Pedroia,Aramis Ramirez  ,,Ryan Zimmerman,Adam Wainwright,Félix Hernández,James Shields,Zack Greinke,ROBINSON CANO,Prince Fielder,Miguel Cabrera
SNK Crushers:,,Hoopleheads: J.J. Hardy,Ian Desmond,,Yoenis Cespedes,Ryan Braun,,Jake Peavy      ,,Jarrod Saltalamacchia,David Ortiz,Adam Jones,,Hunter Pence,,Jacoby Ellsbury,Alex Gordon
SNK Crushers:,,Carlos Santana,Dostoevskian Idiots: Jeff Samardzija,Mike Minor,Brandon Morrow,,Rafael Soriano,Justin Morneau  ,,,,Clay Buchholz,Francisco Liriano,,,Jordan Zimmermann,Hisashi Iwakuma
SNK Crushers:,Joey Votto,,Justin Masterson,,Homer Bailey,Jason Werth,Carlos Gonzalez,,,Josh Johnson,Hiroki Kuroda,Evan Longoria,Johnny Cueto,,Hoopleheads: Jay Bruce,Clayton Kershaw,
Phil Hughes,,,Derek Holland,,,R.A. Dickey,Ubaldo Jimenez,Edwin Jackson   ,,Julio Teherán,Carl Crawford,Aaron Hill,Jaime Garcia,Brian McCann,,Craig Kimbrel,Victor Martinez
,Ben Zobrist,Colby Rasmus,Mark Teixeira,,,Doug Fister,Elvis Andrus,Jorge De La Rosa,Matt Carpenter,Kris Medlen,Michael Cuddyer,Colby Lewis,Jonathon Lucroy,Adam Lind,,David Price,Hyun-jin Ryu
,,Chris Archer,,,Alex Avila,,Pedro Alvarez,Andrew McCutchen,,,Matt Wieters,,,Mat Latos,,Greg Holland,Allen Craig
Alex Rios,,Logan Morrison,,,Kenley Jansen,,,,Andrew Cashner,Ben Revere,,,Garrett Richards,ervin santana,,Josh Donaldson,Coco Crisp
Andy Dirks,,,,,Justin Smoak,,,Jason Heyward   ,Rex Brothers,,,Jonathan Singleton,,,C.J. WILSON,Ike Davis,The Amazing Ukranians:
Tom Gorzelanny,,Christian Yelich,Matt Harrison,,Michael Wacha,Alcides Escobar,,Jhoulys Chacin  ,David Freese,,Scott Baker,Buster Posey,,matt joyce,DREW SMYLY,,Jose Bautista
Daniel Murphy,Starling Marte,Madison Bumgarner,Brandon Beachy,, ,Michael Brantley,Wily Peralta,,Zach McAllister,Chris Sale,Mark Trumbo,Stephen Strasburg,A.J. Griffin,koji uehara,ANTHONY RIZZO,Giancarlo Stanton,Yasiel Puig
Iván Nova,Matt Adams,Starlin Castro,Dayan Viciedo,,,,Nathan Eovaldi,Edward Mujica   ,Norichika Aoki,,,Jake Arrieta,Evan Gattis,sean marshall,SALVADOR PEREZ,,
Josh Reddick,Carlos Carrasco,Al Alburquerque,Bruce Rondon,,Jason Grilli,Dillon Gee,Joel Peralta,Ryan Lavarnway  ,Jed Lowrie,Alfonso Soriano,,,Jose Altuve,john danks,ALEX COBB,,
Josh Collmenter,Brandon Belt,Jemile Weeks,Jenrry Mejía,Desmond Jennings,Lonnie Chisenhall,,Paul Goldschmidt,Alex White      ,Chris Johnson,Addison Reed,Johnny Giavotella,Ryan Ludwick,Freddie Freeman,Chris Davis,,Chris Tillman,Derek Norris
Allen Webster,Yordano Ventura,Domonic Brown,Michael Pineda,Dustin Ackley,J.J. Hoover,Eric Hosmer,Mike Moustakas,Carlos Marmol   ,,Kolten Wong,,Aroldis Chapman,Patrick Corbin,fernando rodney,BRETT LAWRIE,Tyler Chatwood,Jason Kipnis
Avisail García,Marcell Ozuna,Adam Eaton,Neftali Feliz,,Josh Rutledge,Hand Conger,,Alberto Callaspo,Carlos Gomez,Jon Jay,,,Jean Segura,AJ Burnett,TREVOR ROSENTHAL,Kyle Seager,
Will Middlebrooks,Joe Kelly,John Axford,Kyle Lohse,,Erasmos Ramirez,,,Wade Miley      ,Ernesto Frieri,Randall Delgado,Chris Carter,Miguel González,Jedd Gyorko,billy hamilton,ANDRELTON SIMMONS,Wilson Ramos,Brandon Moss
Tyler Skaggs,Daniel Nava,,Todd Frazier,Yonder Alonso,Quantum Fastball:,,,,,Tony Cingrani,Jarrod Parker,Jason Hammel,Wil Myers,Corey Dickerson,MATT MOORE,Tanner Roark,Bartolo Colon
Felix Doubront,Mike Leake,,Tyler Thornburg,Wilin Rosario,Chris Owings,,Jacob Turner,,Matt Harvey,Travis Wood,David Carpenter,Marco Estrada,Manny Machado,yasmani grandl,BRYCE HARPER,Taylor Jordan,Mike Trout
Josh Phegley,Alex Wood,Yu Darvish,Derek Dietrich,,Danny Farquhar,,,,,,Brandon Crawford,,Dan Straily,matt dominguez,MARK MELANCON,Yan Gomes,Will Smith
José Iglesias,Jason Castro,Henderson Álvarez,Jimmy Nelson,Jonathan Papelbon,Junior Lake,,,,,,Jim Henderson,,Brad Miller,jarred cosart,,Tyson Ross,
Scooter Gennett,Anthony Rendón,Peter Bourjos,Kyle Gibson,Jesse Crain,Kole Calhoun,Jim Johnson,,,Jeff Locke,Jonathon Niese,Junichi Tazawa,Scott Feldman,Mike Zunino,chris withrow,,Erik Johnson,
Alex Meyer,Sonny Gray,Nolan Arenado,Jonathan Schoop,Vin Mazzaro,Martin Perez,Drew Pomeranz,,,Jose Quintana,Cody Asche,Luke Hochevar,Kevin Slowey,Danny Salazar,Brian Dozier,WILMER FLORES,Nick Franklin,Jordy Mercer
Matt Davidson,Kevin Gausman,José Fernández,Carlos Martínez,Ryan Raburn,Zack Wheeler,Aaron Hicks,Shelby Miller,Jurickson Profar,Tommy Hunter,Oswaldo Arcia,Robbie Erlin,Gerrit Cole,Corey Kluber,Khris Davis,,Danny Duffy,Josmil Pinto
