Mendoza Line,Ken Phelps All Stars,Necessarily Possible,Clement St. Massive,Bullfrogs,The Amazin Ukranian,Mike Kingery,The Outliers,Big Inning Corn Kings,Quantum Fastball,ZMT,Chibe's Crushers '13,Hoopleheads,Peaches,SNK Crushers,Maya's Mysteries,Dostoevskian Idiots,The Bail Outs
,David Ortiz,Matt Cain,Adrian Beltre,,,,Gio González,,Carlos Gonzalez,Justin Verlander,,,Cole Hamels,Justin Upton,Adam Jones,Max Scherzer,Edwin Encarnacion
,Adam Wainwright,Ian Kinsler,Ryan Braun,,,Paul Goldschmidt,Adrián González,Johnny Cueto,Robinson Canó,Jose Abreu,,Yoenis Cespedes,Zack Greinke,Joey Votto,Felix Hernandez,Miguel Cabrera,Clayton Kershaw
Chase Headley,Rick Porcello,Julio Teherán,R.A. Dickey,Francisco Liriano,Nelson Cruz,Alex Gordon,Andrew McCutchen,Jonathan Lucroy,Chris Archer,,Matt Carpenter,,,Ben Zobrist,,Hyun-jin Ryu,David Price
Charlie Blackmon,Hunter Pence,,,,Brett Gardner,,,Garrett Richards,Starlin Castro,,Andrew Cashner,,,,Stephen Strasburg,Yasiel Puig,Josh Donaldson
Daniel Murphy,,Chris Sale,Michael Brantley,,,,Jason Heyward,,Madison Bumgarner,Anthony Rizzo,,Michael Wacha,,Starling Marte,Buster Posey,Jose Bautista,Giancarlo Stanton
,,,,,Héctor Santiago,,Evan Gattis,,Clay Buchholz,Salvador Perez,A.J. Ramos,Wei-Yin Chen,,,Jake Arrieta,,
Kolten Wong,,,,,Trevor Rosenthal,,,Freddie Freeman,Álex Rodríguez,Dostoevskian Idiots:,Francisco Rodríguez,Joaquin Benoit,Chris Davis,Brandon Belt,Jose Altuve,Carlos Carrasco,Jung-Ho Kang
,,,Eric Hosmer,,Michael Pineda,Mike Moustakas,Mark Teixeira,Patrick Corbin,Adam Eaton,Hector Olivera,,Kendrys Morales,,Yordano Ventura,Aroldis Chapman,Jason Kipnis,
Avisail García,,,,Kyle Seager,,,,Kris Medlen,Adam Lind,,Carlos Gómez,Maya's Mysteries:,marco estrada,Marcell Ozuna,,,
Matt Shoemaker,Chris Carter,Randall Delgado,Denard Span,,Wilson Ramos,Russell Martin,,Brad Miller,,Nate Karns,,Raisel Iglesias,Jeremy Hellickson,Joe Kelly,John Lackey,Yoan Moncada,Hector Rondon
Tyler Skaggs,Mike Leake,,,,Todd Frazier,,,Wil Myers,,Matt Moore,,,Corey Dickerson,,Jason Hammel,Bartolo Colon,Yan Gomes
,Glen Perkins,,,,Jimmy Nelson,,,Manny Machado,Yu Darvish,Bryce Harper,Matt Harvey,Chris Owings,Yasmani Grandal,Alex Wood,,Mike Trout,Wilmer Flores
