Mendoza Line,SNK Crushers,Quantum Fastball,Ukranians,Bullfrogs,Hoopleheads,Clement St. Massive,Kingery,Outliers,Chibe's Crushers,Necessarily Possible,KPAS,Mayas Mysteries,BICK,Peaches,ZMT,The Bail Outs,Idiots
Gary Sanchez,Brady Aiken,Braden Shipley,Robert Stephenson,Kyle Schwarber,Lucas Giolito,Alex Jackson,Austin Hedges,A.J. Cole,Blake Swihart,Hunter Renfroe,Lucas Sims,Tyler Kolek,Jose Berrios,Michael Lorenzen,Ryan McMahon,Kohl Stewart,Luis Severino
Arodys Vizcaino,Nick Williams,Aaron Sanchez,Lance McCullers Jr,Colin Moran,Miguel Almonte,Tim Anderson,"Trevor Story, SS, Rockies",Brandon Nimmo,Jonathan Gray,Michael Conforto,Dilson Herrera,Tyler Glasnow,Nick Gordon,Hunter Dozier,Miguel Sano,Jake Lamb,Lewis Brinson
Hak-Ju Lee,Kenta Maeda,Aaron Nola,Casey Kelly,Skye Bolt,Austin Meadows,David Dahl,Roberto Osuna (auto pick),Aaron Blair,Adalberto Mondesi  (auto pick),Jeff Hoffman,Jesse Biddle,"Kyle Zimmer, P, KC",Mark Appel,Sean Newcomb,Jameson Taillon,Francisco Lindor,Steven Matz
Jake Marisnick,Clint Frazier,Albert Almora,Anthony Ranaudo, Andrew Heaney,Dominic Smith,Taijuan Walker,Eddie Butler (auto pick),Julio Urias,Travis Harrison,Garin Cecchini,,Kris Bryant,Dylan Bundy,Corey Seager (auto pick),"Addison Russell, SS, OAK",Mike Foltynewicz,Javier Baez
Bubba Starling,Carlos Rodon,,Jorge Soler,Danny Hultzen,Rymer Liriano,Alex Colome,"Matt Barnes, P, BOS",Mason Williams,Daniel Norris,"Noah Syndergaard, P, TOR",,Carlos Correa,Byron Buxton,Kyle Hendricks,"Max Fried, P, SD",,Maikel Franco
John Lamb,Josh Bell,,Dan Vogelbach,,Alen Hanson,,,,,Hunter Renfroe,,,,,MICHAEL MATUELLA,,
James Paxton,Yasmani Tomas,,Henry Owens,,Joey Gallo,,,,,,,,,,,,
Trea Turner,,,,,Luis Severino,,,,,,,,,,,,
DJ Peterson,,,,,,,,,,,,,,,,,
Raimel Tapia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,ZMT's 2015 2nd round pick,Necessarily Possible 2015 1st round pick,,,,,,,,,,,,,KPAS 2015 2nd round pick,,
,KPAS 2016 2nd round pick,,,,,,,,,,,,,,,,
